date,github_commits,nasdaq_price,layoffs_count
2020-01-01,25,,0.0
2020-01-02,36,8872.2197265625,0.0
2020-01-03,36,8793.900390625,0.0
2020-01-04,32,,0.0
2020-01-05,24,,0.0
2020-01-06,36,8848.51953125,0.0
2020-01-07,35,8846.4501953125,0.0
2020-01-08,38,8912.3701171875,0.0
2020-01-09,37,8989.6298828125,0.0
2020-01-10,35,8966.6396484375,0.0
2020-01-11,29,,0.0
2020-01-12,28,,0.0
2020-01-13,36,9070.650390625,0.0
2020-01-14,37,9033.419921875,0.0
2020-01-15,37,9035.669921875,0.0
2020-01-16,35,9125.0,0.0
2020-01-17,36,9173.73046875,0.0
2020-01-18,28,,0.0
2020-01-19,27,,0.0
2020-01-20,34,,0.0
2020-01-21,36,9166.6298828125,0.0
2020-01-22,37,9188.580078125,0.0
2020-01-23,36,9216.98046875,0.0
2020-01-24,34,9141.4697265625,0.0
2020-01-25,32,,0.0
2020-01-26,24,,0.0
2020-01-27,34,8952.1796875,0.0
2020-01-28,37,9090.9296875,0.0
2020-01-29,34,9101.6103515625,0.0
2020-01-30,39,9136.08984375,0.0
2020-01-31,36,8991.509765625,0.0
2020-02-01,32,,0.0
2020-02-02,29,,0.0
2020-02-03,37,9126.23046875,0.0
2020-02-04,36,9334.0595703125,0.0
2020-02-05,37,9367.48046875,0.0
2020-02-06,39,9445.919921875,0.0
2020-02-07,36,9401.099609375,0.0
2020-02-08,25,,0.0
2020-02-09,29,,0.0
2020-02-10,40,9516.83984375,0.0
2020-02-11,37,9517.8603515625,0.0
2020-02-12,38,9613.2001953125,0.0
2020-02-13,38,9595.7001953125,0.0
2020-02-14,35,9623.580078125,0.0
2020-02-15,31,,0.0
2020-02-16,29,,0.0
2020-02-17,35,,0.0
2020-02-18,38,9629.7998046875,0.0
2020-02-19,38,9718.73046875,0.0
2020-02-20,38,9627.830078125,0.0
2020-02-21,37,9446.6904296875,0.0
2020-02-22,31,,0.0
2020-02-23,28,,0.0
2020-02-24,40,9079.6298828125,0.0
2020-02-25,38,8834.8701171875,0.0
2020-02-26,37,8873.759765625,0.0
2020-02-27,39,8436.669921875,0.0
2020-02-28,37,8461.830078125,0.0
2020-02-29,34,,0.0
2020-03-01,30,,0.0
2020-03-02,41,8877.98046875,0.0
2020-03-03,37,8594.490234375,0.0
2020-03-04,40,8949.2802734375,0.0
2020-03-05,39,8671.66015625,0.0
2020-03-06,37,8530.33984375,0.0
2020-03-07,32,,0.0
2020-03-08,29,,0.0
2020-03-09,38,7948.02978515625,0.0
2020-03-10,38,8372.26953125,0.0
2020-03-11,42,8006.1201171875,75.0
2020-03-12,39,7263.64990234375,20.0
2020-03-13,38,7995.259765625,14.0
2020-03-14,33,,0.0
2020-03-15,30,,0.0
2020-03-16,36,7020.3798828125,146.0
2020-03-17,34,7473.9501953125,0.0
2020-03-18,39,7175.18017578125,4.0
2020-03-19,38,7288.52001953125,288.0
2020-03-20,38,6994.2900390625,877.0
2020-03-21,33,,0.0
2020-03-22,32,,0.0
2020-03-23,39,7006.919921875,722.0
2020-03-24,40,7553.830078125,717.0
2020-03-25,39,7469.6201171875,763.0
2020-03-26,39,7897.1298828125,668.0
2020-03-27,37,7588.3701171875,2603.0
2020-03-28,36,,500.0
2020-03-29,30,,427.0
2020-03-30,40,7889.009765625,746.0
2020-03-31,38,7813.5,1058.0
2020-04-01,39,7486.2900390625,875.0
2020-04-02,38,7635.66015625,2110.0
2020-04-03,36,7528.10986328125,1764.0
2020-04-04,34,,50.0
2020-04-05,32,,40.0
2020-04-06,38,8081.66015625,435.0
2020-04-07,42,8049.31005859375,2861.0
2020-04-08,39,8229.5400390625,1261.0
2020-04-09,37,8238.5302734375,1754.0
2020-04-10,39,,341.0
2020-04-11,34,,0.0
2020-04-12,25,,0.0
2020-04-13,35,8332.740234375,3037.0
2020-04-14,42,8692.16015625,515.0
2020-04-15,39,8591.9599609375,1543.0
2020-04-16,40,8757.830078125,255.0
2020-04-17,40,8832.41015625,757.0
2020-04-18,32,,0.0
2020-04-19,30,,0.0
2020-04-20,41,8726.509765625,665.0
2020-04-21,40,8403.0,2143.0
2020-04-22,39,8664.6396484375,1065.0
2020-04-23,37,8641.5,343.0
2020-04-24,38,8786.599609375,165.0
2020-04-25,33,,780.0
2020-04-26,36,,0.0
2020-04-27,37,8837.66015625,280.0
2020-04-28,40,8677.599609375,1820.0
2020-04-29,39,8982.759765625,1670.0
2020-04-30,39,9000.509765625,181.0
2020-05-01,41,8718.1796875,566.0
2020-05-02,33,,0.0
2020-05-03,31,,170.0
2020-05-04,41,8834.1103515625,1932.0
2020-05-05,39,8930.6201171875,3031.0
2020-05-06,40,8984.8603515625,4030.0
2020-05-07,39,9101.8798828125,1005.0
2020-05-08,39,9220.349609375,9.0
2020-05-09,34,,0.0
2020-05-10,33,,0.0
2020-05-11,38,9298.919921875,88.0
2020-05-12,40,9112.4501953125,1490.0
2020-05-13,38,9000.080078125,781.0
2020-05-14,40,9094.419921875,365.0
2020-05-15,40,9152.6396484375,1036.0
2020-05-16,32,,0.0
2020-05-17,31,,250.0
2020-05-18,41,9331.9296875,5802.0
2020-05-19,40,9298.5400390625,529.0
2020-05-20,39,9485.01953125,2173.0
2020-05-21,36,9377.990234375,488.0
2020-05-22,37,9413.990234375,21.0
2020-05-23,32,,0.0
2020-05-24,26,,0.0
2020-05-25,33,,200.0
2020-05-26,41,9389.98046875,787.0
2020-05-27,40,9442.0498046875,212.0
2020-05-28,41,9416.7099609375,745.0
2020-05-29,36,9555.5302734375,94.0
2020-05-30,30,,0.0
2020-05-31,30,,0.0
2020-06-01,36,9598.8896484375,1774.0
2020-06-02,39,9657.3095703125,178.0
2020-06-03,42,9704.6904296875,252.0
2020-06-04,37,9629.66015625,89.0
2020-06-05,38,9824.3896484375,64.0
2020-06-06,35,,0.0
2020-06-07,31,,0.0
2020-06-08,38,9901.51953125,0.0
2020-06-09,39,9967.169921875,26.0
2020-06-10,40,10094.259765625,10.0
2020-06-11,37,9588.48046875,123.0
2020-06-12,39,9663.7802734375,288.0
2020-06-13,32,,0.0
2020-06-14,27,,0.0
2020-06-15,40,9776.8896484375,0.0
2020-06-16,37,9949.3701171875,1974.0
2020-06-17,40,9982.48046875,40.0
2020-06-18,41,10012.0498046875,15.0
2020-06-19,39,10008.6396484375,200.0
2020-06-20,29,,0.0
2020-06-21,27,,0.0
2020-06-22,38,10130.330078125,715.0
2020-06-23,38,10209.8203125,526.0
2020-06-24,42,10002.7001953125,625.0
2020-06-25,38,10101.830078125,0.0
2020-06-26,36,9849.3603515625,0.0
2020-06-27,28,,0.0
2020-06-28,29,,0.0
2020-06-29,39,9961.16015625,711.0
2020-06-30,39,10156.849609375,17.0
2020-07-01,41,10279.25,91.0
2020-07-02,37,10341.8896484375,0.0
2020-07-03,35,,0.0
2020-07-04,29,,0.0
2020-07-05,28,,0.0
2020-07-06,38,10604.0595703125,0.0
2020-07-07,38,10524.009765625,0.0
2020-07-08,38,10666.7001953125,85.0
2020-07-09,39,10754.58984375,140.0
2020-07-10,37,10836.330078125,140.0
2020-07-11,31,,0.0
2020-07-12,30,,0.0
2020-07-13,38,10602.2099609375,63.0
2020-07-14,41,10689.51953125,300.0
2020-07-15,41,10701.6796875,60.0
2020-07-16,39,10626.4599609375,0.0
2020-07-17,38,10645.2197265625,120.0
2020-07-18,27,,0.0
2020-07-19,25,,0.0
2020-07-20,39,10952.080078125,22.0
2020-07-21,40,10833.0703125,960.0
2020-07-22,40,10870.75,0.0
2020-07-23,40,10580.58984375,64.0
2020-07-24,37,10483.1298828125,0.0
2020-07-25,25,,0.0
2020-07-26,27,,0.0
2020-07-27,40,10674.3798828125,425.0
2020-07-28,41,10532.5,180.0
2020-07-29,38,10662.98046875,0.0
2020-07-30,38,10715.509765625,4462.0
2020-07-31,40,10905.8798828125,0.0
2020-08-01,34,,0.0
2020-08-02,31,,0.0
